Request Path,Date Time,Sum of Traffic
/Assignment4/movies/asdf,2015-04-26 02:25:00+0000,1
/Assignment4/movies/asdf,2015-04-26 02:36:00+0000,1
/Assignment4/movies/asdf,2015-04-26 02:37:00+0000,1
/Assignment4/movies/asdf,2015-04-26 02:39:00+0000,0
/Assignment4/movies/asdf,2015-04-26 02:42:00+0000,1
/Assignment4/movies/asdf,2015-04-26 02:44:00+0000,3
/Assignment4/movies/asdf,2015-04-26 02:47:00+0000,2
/Assignment4/movies/asdf,2015-04-26 02:50:00+0000,1
/Assignment4/movies/asdf,2015-04-26 02:52:00+0000,0
/Assignment4/movies/asdf,2015-04-26 02:53:00+0000,1
/Assignment4/movies/asdf,2015-04-26 03:01:00+0000,2
/Assignment4/movies/asdf,2015-04-26 03:04:00+0000,0
/Assignment4/movies/asdf,2015-04-26 03:05:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:25:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:36:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:37:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:39:00+0000,1
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:42:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:44:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:47:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:50:00+0000,1
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:52:00+0000,1
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 02:53:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 03:01:00+0000,1
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 03:04:00+0000,0
/Assignment4/movies/feqfiudhagjkvbinvjkablgjfd,2015-04-26 03:05:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:25:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:36:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:37:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:39:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:42:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:44:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:47:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:50:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:52:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 02:53:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 03:01:00+0000,0
/Assignment4/movies/hjkl,2015-04-26 03:04:00+0000,1
/Assignment4/movies/hjkl,2015-04-26 03:05:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:25:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:36:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:37:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:39:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:42:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:44:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:47:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:50:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:52:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 02:53:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 03:01:00+0000,0
/Assignment4/movies/vbnm,2015-04-26 03:04:00+0000,1
/Assignment4/movies/vbnm,2015-04-26 03:05:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:25:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:36:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:37:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:39:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:42:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:44:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:47:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:50:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:52:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 02:53:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 03:01:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 03:04:00+0000,0
/Assignment4/movies/aoeuaoeu,2015-04-26 03:05:00+0000,1
/Assignment4/movies/uiop,2015-04-26 02:25:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:36:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:37:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:39:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:42:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:44:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:47:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:50:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:52:00+0000,0
/Assignment4/movies/uiop,2015-04-26 02:53:00+0000,0
/Assignment4/movies/uiop,2015-04-26 03:01:00+0000,0
/Assignment4/movies/uiop,2015-04-26 03:04:00+0000,1
/Assignment4/movies/uiop,2015-04-26 03:05:00+0000,0
/Assignment4/movies/,2015-04-26 02:25:00+0000,0
/Assignment4/movies/,2015-04-26 02:36:00+0000,0
/Assignment4/movies/,2015-04-26 02:37:00+0000,0
/Assignment4/movies/,2015-04-26 02:39:00+0000,0
/Assignment4/movies/,2015-04-26 02:42:00+0000,0
/Assignment4/movies/,2015-04-26 02:44:00+0000,0
/Assignment4/movies/,2015-04-26 02:47:00+0000,0
/Assignment4/movies/,2015-04-26 02:50:00+0000,0
/Assignment4/movies/,2015-04-26 02:52:00+0000,0
/Assignment4/movies/,2015-04-26 02:53:00+0000,0
/Assignment4/movies/,2015-04-26 03:01:00+0000,0
/Assignment4/movies/,2015-04-26 03:04:00+0000,1
/Assignment4/movies/,2015-04-26 03:05:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:25:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:36:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:37:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:39:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:42:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:44:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:47:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:50:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:52:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 02:53:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 03:01:00+0000,0
/Assignment4/movies/zxcv,2015-04-26 03:04:00+0000,1
/Assignment4/movies/zxcv,2015-04-26 03:05:00+0000,0